Merchant Name,Description,Category 1,Category 2,Category 3,Consolidated
Woolworths , A popular supermarket chain for groceries.,Expense,Household,Groceries,Woolworths /Expense/Household/Groceries
Coles , Another major supermarket chain.,Expense,Household,Groceries,Coles /Expense/Household/Groceries
ALDI , Discount supermarket for budget shopping.,Expense,Household,Groceries,ALDI /Expense/Household/Groceries
BP , Common petrol station.,Expense,Transport,Fuel,BP /Expense/Transport/Fuel
Caltex , Another widespread petrol station.,Expense,Transport,Fuel,Caltex /Expense/Transport/Fuel
Telstra , Major telecommunications provider for phone and internet services.,Expense,Personal,Mobile Phone,Telstra /Expense/Personal/Mobile Phone
Optus , Another key telecommunications provider.,Expense,Personal,Mobile Phone,Optus /Expense/Personal/Mobile Phone
McDonald’s , Fast food restaurant chain.,Expense,Leisure & Lifestyle,Takeaway,McDonald’s /Expense/Leisure & Lifestyle/Takeaway
Kmart , Department store for household goods and clothing.,Expense,Personal,Children & Family,Kmart /Expense/Personal/Children & Family
Bunnings Warehouse , Hardware and home improvement store.,Expense,Household,Maintenance & Improvements,Bunnings Warehouse /Expense/Household/Maintenance & Improvements
Myer , Department store with a wide range of products.,Expense,Personal,Clothing & Accessories,Myer /Expense/Personal/Clothing & Accessories
JB HiFi, Retailer for electronics and home appliances.,Expense,Leisure & Lifestyle,Electronics,JB HiFi/Expense/Leisure & Lifestyle/Electronics
Domino’s Pizza , Popular pizza delivery service.,Expense,Leisure & Lifestyle,Takeaway,Domino’s Pizza /Expense/Leisure & Lifestyle/Takeaway
Uber , Rideshare and food delivery services.,Expense,Transport,Taxies & Share Cars,Uber /Expense/Transport/Taxies & Share Cars
Zarraffa's Coffee , Popular coffee shop chain.,Expense,Leisure & Lifestyle,Restaurants & Cafes,Zarraffa's Coffee /Expense/Leisure & Lifestyle/Restaurants & Cafes
Chemist Warehouse , Pharmacy and beauty store.,Expense,Personal,Health & Medical,Chemist Warehouse /Expense/Personal/Health & Medical
Officeworks , Office supplies and technology retailer.,Expense,Personal,Life Admin,Officeworks /Expense/Personal/Life Admin
Target ," Department store for clothing, home goods, and electronics.",Expense,Personal,Clothing & Accessories,Target /Expense/Personal/Clothing & Accessories
Hungry Jack’s , Fast food burger chain.,Expense,Leisure & Lifestyle,Takeaway,Hungry Jack’s /Expense/Leisure & Lifestyle/Takeaway
Rebel Sport , Retailer for sports equipment and apparel.,Expense,Personal,Fitness & Wellbeing,Rebel Sport /Expense/Personal/Fitness & Wellbeing
Spotlight ," Store for fabrics, crafts, and home interiors.",Expense,Leisure & Lifestyle,Hobbies,Spotlight /Expense/Leisure & Lifestyle/Hobbies
The Coffee Club , Cafe chain for coffee and light meals.,Expense,Leisure & Lifestyle,Restaurants & Cafes,The Coffee Club /Expense/Leisure & Lifestyle/Restaurants & Cafes
Dymocks , Bookstore chain.,Expense,Leisure & Lifestyle,Hobbies,Dymocks /Expense/Leisure & Lifestyle/Hobbies
Harris Farm Markets , Fresh food market for groceries.,Expense,Household,Groceries,Harris Farm Markets /Expense/Household/Groceries
Guzman y Gomez , Fast casual chain offering Mexican food.,Expense,Leisure & Lifestyle,Takeaway,Guzman y Gomez /Expense/Leisure & Lifestyle/Takeaway
Boost Juice Bars , Chain offering smoothies and juices.,Expense,Leisure & Lifestyle,Takeaway,Boost Juice Bars /Expense/Leisure & Lifestyle/Takeaway
City Beach ," Retailer for surf, skate, and street clothing.",Expense,Personal,Clothing & Accessories,City Beach /Expense/Personal/Clothing & Accessories
Dan Murphy’s , Liquor store chain.,Expense,Leisure & Lifestyle,Alcohol,Dan Murphy’s /Expense/Leisure & Lifestyle/Alcohol
Menulog , Online food delivery service.,Expense,Leisure & Lifestyle,Takeaway,Menulog /Expense/Leisure & Lifestyle/Takeaway
AGL Energy , Major provider of electricity and gas.,Expense,Household,Utilities,AGL Energy /Expense/Household/Utilities
Origin Energy , Utility provider for electricity and natural gas.,Expense,Household,Utilities,Origin Energy /Expense/Household/Utilities
EnergyAustralia ," Supplies electricity, natural gas, and solar power.",Expense,Household,Utilities,EnergyAustralia /Expense/Household/Utilities
Sydney Water , Water supply company.,Expense,Household,Utilities,Sydney Water /Expense/Household/Utilities
South East Water , Water and wastewater services provider.,Expense,Household,Utilities,South East Water /Expense/Household/Utilities
Queensland Urban Utilities , Water supply and treatment services.,Expense,Household,Utilities,Queensland Urban Utilities /Expense/Household/Utilities
Greencross Vets , Network of veterinary clinics.,Expense,Household,Pets,Greencross Vets /Expense/Household/Pets
Petbarn , Pet supplies store that often includes veterinary services.,Expense,Household,Pets,Petbarn /Expense/Household/Pets
VetLove , Chain of veterinary clinics.,Expense,Household,Pets,VetLove /Expense/Household/Pets
Australian Veterinary Association , Common for membership fees and services.,Expense,Household,Pets,Australian Veterinary Association /Expense/Household/Pets
OfficeMax ," Supplies for school, office, and stationery.",Expense,Personal,Life Admin,OfficeMax /Expense/Personal/Life Admin
School Locker ," Retailer for school uniforms, textbooks, and supplies.",Expense,Personal,Children & Family,School Locker /Expense/Personal/Children & Family
Campion Education , Provider of educational resources and school supplies.,Expense,Personal,Children & Family,Campion Education /Expense/Personal/Children & Family
SEQTA , Software service for managing school learning and administration.,Expense,Personal,Education,SEQTA /Expense/Personal/Education
TerryWhite Chemmart , Often used for purchasing school health supplies.,Expense,Personal,Health & Medical,TerryWhite Chemmart /Expense/Personal/Health & Medical
Goodstart Early Learning , One of Australia's largest early learning providers.,Expense,Personal,Children & Family,Goodstart Early Learning /Expense/Personal/Children & Family
F45 Training , Popular fitness gym specializing in functional training.,Expense,Personal,Fitness & Wellbeing,F45 Training /Expense/Personal/Fitness & Wellbeing
Anytime Fitness ,24 hour health and fitness club.,Expense,Personal,Fitness & Wellbeing,Anytime Fitness /Expense/Personal/Fitness & Wellbeing
Fernwood Fitness , Gym and fitness center primarily for women.,Expense,Personal,Fitness & Wellbeing,Fernwood Fitness /Expense/Personal/Fitness & Wellbeing
KU Children's Services , Provider of early childhood education and care.,Expense,Personal,Children & Family,KU Children's Services /Expense/Personal/Children & Family
G8 Education , One of the largest providers of childcare services.,Expense,Personal,Children & Family,G8 Education /Expense/Personal/Children & Family
Snap Fitness , 24/7 gym offering cardio and strength training equipment.,Expense,Personal,Fitness & Wellbeing,Snap Fitness /Expense/Personal/Fitness & Wellbeing
Jetts Fitness , Gym known for no lock in contracts and 24/7 access,Expense,Personal,Fitness & Wellbeing,Jetts Fitness /Expense/Personal/Fitness & Wellbeing
YMCA ," Provides fitness, recreation, and community programs.",Expense,Personal,Fitness & Wellbeing,YMCA /Expense/Personal/Fitness & Wellbeing
Childcare Payments , Generic descriptor for various childcare service payments.,Expense,Personal,Children & Family,Childcare Payments /Expense/Personal/Children & Family
Guardian Childcare & Education , High qualirt early learning services,Expense,Personal,Children & Family,Guardian Childcare & Education /Expense/Personal/Children & Family
King Swim , Swimming lessons for children and adults.,Expense,Personal,Fitness & Wellbeing,King Swim /Expense/Personal/Fitness & Wellbeing
Fitness First , Health club offering a range of fitness services.,Expense,Personal,Fitness & Wellbeing,Fitness First /Expense/Personal/Fitness & Wellbeing
Coles Express , Convenience store and fuel station.,Expense,Transport,Fuel,Coles Express /Expense/Transport/Fuel
Muffin Break , Bakery café known for coffee and freshly baked goods,Expense,Leisure & Lifestyle,Restaurants & Cafes,Muffin Break /Expense/Leisure & Lifestyle/Restaurants & Cafes
Specsavers , Retail chain offering optical and audiology services.,Expense,Personal,Health & Medical,Specsavers /Expense/Personal/Health & Medical
National Hearing Care , Provider of hearing tests and hearing aids.,Expense,Personal,Health & Medical,National Hearing Care /Expense/Personal/Health & Medical
Village Cinemas , Popular cinema chain for movies and entertainment.,Expense,Leisure & Lifestyle,Entertainment,Village Cinemas /Expense/Leisure & Lifestyle/Entertainment
BWS ," Beer, Wine, Spirits; liquor retailer.",Expense,Leisure & Lifestyle,Alcohol,BWS /Expense/Leisure & Lifestyle/Alcohol
Liquorland , Chain of liquor stores.,Expense,Leisure & Lifestyle,Alcohol,Liquorland /Expense/Leisure & Lifestyle/Alcohol
Harvey Norman ," Large retailer of electronics, furniture, and bedding.",Expense,Household,"Furniture, Electronics & Homewares","Harvey Norman /Expense/Household/Furniture, Electronics & Homewares"
Beacon Lighting , Specialized store for lighting fixtures and accessories.,Expense,Household,Maintenance & Improvements,Beacon Lighting /Expense/Household/Maintenance & Improvements
