Date,Transaction Description,Debit,Credit,Balance,Category 1,Category 2,Category 3,DR/CR
2022-01-01,Monthly Income,0,6542,6542,Income,Income,Wages,CR
2022-01-02,Tennis Australia ,129,0,6413,Expense,Personal,Fitness & Wellbeing,DR
2022-01-02,Stand Up Paddleboard Rental ,85,0,6328,Expense,Personal,Fitness & Wellbeing,DR
2022-01-02,Karate for Kids ,180,0,6148,Expense,Personal,Fitness & Wellbeing,DR
2022-01-04,Repco ,246,0,5902,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2022-01-06,JAX Tyres ,578,0,5324,Expense,Transport,"Car Insurance, Rego & Maintenance",DR
2022-01-06,Karate for Kids ,315,0,5009,Expense,Personal,Fitness & Wellbeing,DR
2022-01-06,Taronga Zoo ,223,0,4786,Expense,Leisure & Lifestyle,Entertainment,DR
2022-01-06,Stan ,177,0,4609,Expense,Leisure & Lifestyle,"Tv, Music & Streaming",DR
2022-01-07,Childcare Payments ,360,0,4249,Expense,Personal,Children & Family,DR
2022-01-07,Snap Fitness ,250,0,3999,Expense,Personal,Fitness & Wellbeing,DR
2022-01-07,Upwork Freelancer Payment ,36,0,3963,Income,Income,Other Income,DR
2022-01-09,Freedom Furniture ,101,0,3862,Expense,Household,Maintenance & Improvements,DR
2022-01-09,Kmart ,339,0,3523,Expense,Personal,Children & Family,DR
2022-01-11,Barbeques Galore ,78,0,3445,Expense,Household,"Furniture, Electronics & Homewares",DR
2022-01-11,EnergyAustralia ,187,0,3258,Expense,Household,Utilities,DR
2022-01-12,Campion Education ,173,0,3085,Expense,Personal,Children & Family,DR
2022-01-14,Chemist Warehouse ,19,0,3066,Expense,Personal,Health & Medical,DR
2022-01-14,Massage Therapy Center ,191,0,2875,Expense,Personal,Health & Medical,DR
2022-01-14,Beach Café ,155,0,2720,Expense,Leisure & Lifestyle,Restaurants & Cafes,DR
2022-01-15,Tennis Australia ,20,0,2700,Expense,Personal,Fitness & Wellbeing,DR
2022-01-15,The Good Guys ,41,0,2659,Expense,Household,"Furniture, Electronics & Homewares",DR
2022-01-15,Payday Advance ,265,0,2394,Income,Income,Other Income,DR
2022-01-16,Liquorland ,92,0,2302,Expense,Leisure & Lifestyle,Alcohol,DR
2022-01-16,Ballet Schools ,51,0,2251,Expense,Personal,Fitness & Wellbeing,DR
2022-01-16, Jim's Mowing ,198,0,2053,Expense,Household,Maintenance & Improvements,DR
2022-01-16,Centrelink JobSeeker Payment ,123,0,1930,Income,Income,Other Income,DR
2022-01-16,Fitness First ,80,0,1850,Expense,Personal,Fitness & Wellbeing,DR
2022-01-17,OfficeMax ,131,0,1719,Expense,Personal,Life Admin,DR
