features_rating,security_rating,recommend_rating,features_valuable,competitors_do_well,similarities,sentiment
3,2,2,Ease of Use,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,neutral
3,5,3,Ease of Use,Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.,Quisque ut erat. Curabitur gravida nisi at nibh.,positive
2,4,3,Security Features,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",negative
2,5,1,Security Features,Nulla mollis molestie lorem. Quisque ut erat.,Mauris ullamcorper purus sit amet nulla.,negative
5,4,4,Security Features,Sed ante. Vivamus tortor. Duis mattis egestas metus.,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,neutral
3,2,2,Transaction Management,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,Praesent lectus.,neutral
3,5,3,Ease of Use,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim.,Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,positive
3,1,5,Transaction Management,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.","Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",negative
5,2,2,Ease of Use,Sed ante. Vivamus tortor. Duis mattis egestas metus.,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,negative
1,5,2,Security Features,Nam dui.,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",negative
4,2,2,Transaction Management,Nulla tellus.,Donec ut dolor.,neutral
2,3,3,Ease of Use,Integer tincidunt ante vel ipsum.,Nullam porttitor lacus at turpis.,negative
